Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Image Src,Image Alt Text,SEO Title,SEO Description,Collection
fresh-floral-fiesta,Fresh Floral Fiesta,"<p>Embrace natures light, airy, and blossoming scents with our Fresh Floral Fiesta Herbal soap. Renowned for its nourishing and renewing skin loving ingredients and anti-aging essential oils. This perfectly formulated soap with a moisturizing blend of pure Goat’s milk and the sweet aroma of Japanese Magnolia, provides a gentle, yet effective cleanse for every skin type.</p><p><strong>Ingredients:</strong> Goats Milk, Palmarosa Oil, Rosewood Oil, Ylang Ylang, Geranium Oil, Rose Oil, Neroli Oil, Lavender Oil, Jasmine Oil, Coconut Oil, Chamomile Roman, Clary Sage Oil, Japanese Magnolia Oil and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,FRE-HER-BAR-06,206,shopify,0,deny,manual,21.99,true,true,draft,,Fresh Floral Fiesta herbal soap by Royal Being,Fresh Floral Fiesta | Royal Being Herbal Soap,"Embrace natures light, airy, and blossoming scents with our Fresh Floral Fiesta Herbal soap. Renowned for its nourishing and renewing skin loving ingredien",The Royal Collection
glow-rify,Glow-rify,"<p>Elevate your glow with Glow-rify. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils such as: Goats Milk and Carrot Seed Oil, also harbors one of Cleopatra’s beauty secrets: known to deeply hydrate and balance skin complexion. Glow-rify not only amplifies your glow, it gently cleanses, and removes dead skin cells to reveal soft, radiant, and rejuvenated skin.</p><p><strong>Ingredients:</strong> Goats Milk, Raw Honey, Glycerin, Carrot Seed Oil, Frankincense Oil, Jasmine Oil, Cypress Oil, Lavender Oil, Geranium Oil, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,GLO-HER-BAR-06,178,shopify,0,deny,manual,21.99,true,true,draft,,Glow-rify herbal soap by Royal Being,Glow-rify | Royal Being Herbal Soap,"Elevate your glow with Glow-rify. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils such as: Goats Milk and Carr",The Royal Collection
gilded-age,Gilded Age,"<p>Step into a dynamic era with our Gilded Age herbal soap bar. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils such as: Cocoa Butter, Honey, Violet, Lavender, Rose, and Ylang Ylang, is the perfect soap for the woman who wants to revisit the past. A woman who wants to capture a piece of magic. The ineffable aroma of beautiful roses, as fresh and lively today as the bouquets presented eons ago, can be witnessed in our tantalizingly familiar and yet agonizingly distant Gilded Age. Known for its rich, opulent and hydrating ingredients, Gilded Age balances your skin’s surface while leaving behind a luxurious scent. Enjoy deep, warm, floral notes, reminiscent of vintage luxury, alongside blissful bubbly lathers that rejuvenate your skin.</p><p><strong>Ingredients:</strong> Cocoa Butter Base, Goats Milk Base, Patchouli Oil, Violet Oil, Lavender Oil, Rose Oil, Ylang Ylang Oil, Frankincense Oil, Glycerin Base, Cedarwood Oil, Sweet Orange Oil, Bergamot Oil, Cinnamon Oil, Jasmine Oil, Natural Coloring and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, unisex/general, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,GLO-HER-BAR-06,178,shopify,0,deny,manual,21.99,true,true,draft,,Gilded Age herbal soap by Royal Being,Gilded Age | Royal Being Herbal Soap,"Step into a dynamic era with our Gilded Age herbal soap bar. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils s",The Royal Collection
herbal-galaxy-renewal-soap,Herbal Galaxy Renewal Soap,"<p>Experience the invigorating power of nature with our Herbal Galaxy Renewal soap. This unique blend of skin loving, moisturizing ingredients, with beneficial essential oils such as: Shea Butter, Goats Milk and Vanilla provide the wholesome goodness your skin craves. Formulated with the ultimate care, and your skin in mind, our herbal fusion blend will lift your spirits, one blissful lather at a time. Be prepared to unveil soft, radiant, and hydrated skin.</p><p><strong>Ingredients:</strong> Shea Butter, Goats Milk, Honey, Coconut Oil, Vitamin E Oil, Turmeric Oil, Vanilla Oil, Clove Oil, Eucalyptus Oil, Rose Oil, Peppermint Oil, Spirulina Powder, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,HER-HER-BAR-06,206,shopify,0,deny,manual,13.99,true,true,draft,,Herbal Galaxy Renewal Soap herbal soap by Royal Being,Herbal Galaxy Renewal Soap | Royal Being Herbal Soap,"Experience the invigorating power of nature with our Herbal Galaxy Renewal soap. This unique blend of skin loving, moisturizing ingredients, with beneficia",The Signature Collection
islander,Islander,"<p>Embrace the tropical scents of the Islander. An Herbal soap formulated with mindful scents and a blend of skin loving, moisturizing ingredients such as: Coconut Milk and Bergamot. Scents of the islands, defined by notes of creamy coconut, sun-sweetened mango, and the ocean breeze, treat not only your skin, but also elevate your senses. As you lather, the lush, vacation- inspired aromas offer a luxurious vacation for your body, and evoke a warm, relaxing island getaway for your mind.</p><p><strong>Ingredients:</strong> Coconut Milk, Glycerin, Coconut Oil, Honey, Ylang Ylang Oil, Lime Oil, Lemon Oil, Orange Oil, Spearmint Oil, Bergamot, Oil, Mango Butter, Vanilla Oil, Pineapple Oil, Ginger Oil, Plumeria Oil, Tea Tree Oil, Vetiver Oil Pachouli Oil, Clary Sage Oil, Geranium Oil, Frankincense oil, Sandalwood Oil, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,ISL-HER-BAR-06,206,shopify,0,deny,manual,21.99,true,true,draft,,Islander herbal soap by Royal Being,Islander | Royal Being Herbal Soap,"Embrace the tropical scents of the Islander. An Herbal soap formulated with mindful scents and a blend of skin loving, moisturizing ingredients such as: Co",The Signature Collection
melanin-popping,Melanin Popping,"<p>Experience the cleansing power of African black soap made from organic plantain skins and cocoa pod. This all natural, nutrient-rich herbal bar is celebrated for its deep cleansing, exfoliating, and antibacterial properties. It is enriched with skin loving ingredients that are packed with nourishing botanicals and moisturizers like shea butter, which balances, soothes, and revitalizes most skin types. Melanin Popping is perfect for Brown and Black skin, and is infused with essential oils that balance, moisturize, and cleanse the skin with wholesome goodness and zero harsh chemicals.</p><p><strong>Ingredients:</strong> African Black Soap, Goat Milk, Shea Butter, Coconut Oil, Jojoba Oil, Lavender Oil, Carrot Seed Oil, Geranium Oil, Tea Tree Oil, Frankincense Oil, Myrrh Oil, Turmeric Oil, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,MEL-HER-BAR-05,178,shopify,0,deny,manual,19.99,true,true,draft,,Melanin Popping herbal soap by Royal Being,Melanin Popping | Royal Being Herbal Soap,"Experience the cleansing power of African black soap made from organic plantain skins and cocoa pod. This all natural, nutrient-rich herbal bar is celebrat",The Signature Collection
sweet-madagascar,Sweet Madagascar,"<p>Experience the ultimate in skincare with our Sweet Madagascar Herbal soap, enriched with skin loving, moisturizing ingredients and beneficial essential oils such as: Goat Milk, Coconut, and Vanilla oil. Our soap provides a gentle yet effective cleanse, while its scent transports you to the hand-pollinated orchids of Madagascar. Enjoy the sophisticated scents of blended notes of coconut, vanilla, and Ravintsara, which offer pure lathering bliss with zero chemicals.</p><p><strong>Ingredients:</strong> Goat Milk, Coconut Oil, Ravintsara (Cinnamomum Camphora) Oil, Geranium Oil, Vanilla Oil, Jasmine Oil, Saro Oil, Orange Blossom Oil, Ylang Ylang Oil, Clove Oil and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,SWE-HER-BAR-06,178,shopify,0,deny,manual,21.99,true,true,draft,,Sweet Madagascar herbal soap by Royal Being,Sweet Madagascar | Royal Being Herbal Soap,"Experience the ultimate in skincare with our Sweet Madagascar Herbal soap, enriched with skin loving, moisturizing ingredients and beneficial essential oil",The Signature Collection
the-duchess,The Duchess,"<p>Embody the sophisticated elegance of the Duchess, and channel real-life royalty with our regal herbal soap. This elegant soap with botanical blends of youth exuberance is ideal for the Royal Being. Soak in its crisp, warm, delicate notes which are undeniable to the senses and are sure to garner many compliments. Set as the first step routine in your cleansing ritual, layer it with your favorite fragrance for a long-lasting scent that lasts and lasts. The Duchess is formulated with rich nourishing ingredients such as Goat’s Milk, Mango Butter, and infused with delicate florals such as Lily and Jasmine. Take your time, and take your skincare wellness to new heights with its bright, luminous and uplifting botanicals.</p><p><strong>Ingredients:</strong> Goats Milk, Mango Butter, Organic Lily of the Valley Oil, Jasmine Oil, Bergamot Oil, Sandalwood Oil, Vetiver Oil, Amber Oil, Grape Seed Oil, Vitamin E Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, unisex/general, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,DUC-HER-BAR-6.7,189,shopify,0,deny,manual,25.99,true,true,draft,,The Duchess herbal soap by Royal Being,The Duchess | Royal Being Herbal Soap,"Embody the sophisticated elegance of the Duchess, and channel real-life royalty with our regal herbal soap. This elegant soap with botanical blends of yout",The Royal Collection
the-enchanted-garden,The Enchanted Garden,"<p>Get swept up in the wonderful aromas of the Enchanted Garden. This is no ordinary herbal soap. Its luxurious lathers transport your senses into the mythical divine. With skin-loving all natural ingredients such as Coconut, infused with intoxicating essential oils such as Jasmine of the Arabias, the Enchanted Garden will take your breath away; leaving dewy, nourished, and revitalized skin. Beloved for its bright, fairy-like floral aromas, each earthy, floral, and grounding note is pure heaven to the senses. Take your self-care cleansing routine to a whole new realm, with this quintessential herbal bar. Enjoy soft, supple skin with the Enchanted Garden, created specifically with you in mind.</p><p><strong>Ingredients:</strong> Coconut Milk Base, Goats Milk, Rose Absolute Oil, Geranium Oil, Neroli Oil, Cedarwood Oil, Sandalwood Oil, Patchouli Oil, Vetiver Oil, Lavender Oil, Basil Oil, Amber Oil, Warm Oud Oil, Watermelon FO, Lime Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, unisex/general, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,ENC-HER-BAR-06,178,shopify,0,deny,manual,21.99,true,true,draft,,The Enchanted Garden herbal soap by Royal Being,The Enchanted Garden | Royal Being Herbal Soap,Get swept up in the wonderful aromas of the Enchanted Garden. This is no ordinary herbal soap. Its luxurious lathers transport your senses into the mythica,The Royal Collection
the-reiny,The Reiny,"<p>Captivate your audience with the lingering scents of The Reiny. This clarifying herbal soap ushers you into a Queendom world of royal spotlight. Be the Queen of your castle each day in your bath or shower, as you indulge in a magnificent cleansing ritual. The Reiny lives up to its name in its ingredients - formulated with skin-loving, moisturizing ingredients such Glycerin, Goat’s Milk, Honey, and infused with essential oils such as Bergamot and Ylang Ylang. Allow luxurious lathers that offer captivating aromas to not only embrace your senses, but also to revive and nourish fatigued skin.</p><p><strong>Ingredients:</strong> Glycerin Base, Goat’s Milk, Bergamot Oil, Ylang Ylang Oil, Jasmine Oil, Saffron Oil, Cedarwood Oil, Sandalwood Oil, Orange Oil, Honey, Vanilla Oil, Natural Coloring and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, unisex/general, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,TUR-HER-BAR-05,189,shopify,0,deny,manual,21.99,true,true,draft,,The Reiny herbal soap by Royal Being,The Reiny | Royal Being Herbal Soap,Captivate your audience with the lingering scents of The Reiny. This clarifying herbal soap ushers you into a Queendom world of royal spotlight. Be the Que,The Royal Collection
the-rose-garden,The Rose Garden,"<p>Elevate your skincare with the enriching scents of The Rose Garden Herbal soap. Formulated with skin loving, moisturizing ingredients, tantalizing floral scents, and beneficial essential oils. Our unique blend of Goat’s Milk, Honey, and Rose Hip oil is a delightful treat for your skin, and offers a luxurious floral fragrance that uplifts and brightens your mood.</p><p><strong>Ingredients:</strong> Goat Milk, Honey, Rose Hip Powder, Rose Hip Oil, Vanilla Oil, Rose Oil, Clove Oil, and Black Rose & Oud FO.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,ROS-HER-BAR-06,178,shopify,0,deny,manual,19.99,true,true,draft,,The Rose Garden herbal soap by Royal Being,The Rose Garden | Royal Being Herbal Soap,"Elevate your skincare with the enriching scents of The Rose Garden Herbal soap. Formulated with skin loving, moisturizing ingredients, tantalizing floral s",The Royal Collection
turmeric-swirl,Turmeric Swirl,"<p>Enjoy the brightening effects of Turmeric Swirl. This Herbal soap is formulated with skin loving, moisturizing ingredients, such Coconut Milk and Turmeric root powder to help even out skin tone, fade scars, brightens dark spots, soothes inflammatory conditions like acne and eczema, and promotes a natural, radiant glow. Utilize once a week for a radiant glow.</p><p><strong>Ingredients:</strong> Coconut Milk, Turmeric root powder, Turmeric Oil, Olive Oil, Shea Butter, Kaolin Clay, Orange Oil, Lavender Oil, and Tea Tree Oil.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,TUR-HER-BAR-05,189,shopify,0,deny,manual,11.99,true,true,draft,,Turmeric Swirl herbal soap by Royal Being,Turmeric Swirl | Royal Being Herbal Soap,"Enjoy the brightening effects of Turmeric Swirl. This Herbal soap is formulated with skin loving, moisturizing ingredients, such Coconut Milk and Turmeric ",The Signature Collection
watermelon-fusion,Watermelon Fusion,"<p>Elevate your skincare cleansing routine with our Watermelon Fusion Herbal soap. This luxurious blend of nourishing ingredients such as Goat’s Milk, Peppermint, and Watermelon, is a delightful treat for your skin. Formulated with skin loving ingredients, the wholesome goodness of poppy seeds for exfoliation, and enriched with beneficial essential oils, Watermelon Fusion leaves your skin feeling refreshed, smoother, softer, and radiant, time after time. Let the tantalizing scents of each lather, transport you to a tropical oasis with each use.</p><p><strong>Ingredients:</strong> Goat’s Milk, Oat Milk Base, Coconut Oil, Watermelon Oil, Lavender Oil, Rose Oil, Eucalyptus Oil, Vanilla Oil, Peppermint Oil, Clove Oil, Pink Clay Powder, Poppy Seeds, Watermelon FO, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,WM-ORG-BR-04-ST,189,shopify,0,deny,manual,19.99,true,true,draft,,Watermelon Fusion herbal soap by Royal Being,Watermelon Fusion | Royal Being Herbal Soap,"Elevate your skincare cleansing routine with our Watermelon Fusion Herbal soap. This luxurious blend of nourishing ingredients such as Goat’s Milk, Pepperm",The Signature Collection
