Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Variant Weight Unit,Collection
beef-tallow,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/beef-tallow/02.jpg,2,Beef Tallow herbal soap by Royal Being,,,,,
beef-tallow,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/beef-tallow/03.jpg,3,Beef Tallow herbal soap by Royal Being,,,,,
beef-tallow,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/beef-tallow/04.jpg,4,Beef Tallow herbal soap by Royal Being,,,,,
blissful-lavender,Blissful Lavender,"<p>Invite a natural calming effect with our Blissful Lavender Herbal soap bar enriched with skin loving moisturizing ingredients and beneficial essential oils such as Goat’s Milk and Lavender Oil. Our unique blend of mindful ingredients relaxes the nervous system, a reason Lavender is widely celebrated. Its rich compounds of linalool and linalyl acetate, alongside its wonderful aroma, interacts with brain receptors to reduce stress, improve sleep quality, alleviate minor tension headaches, and offer a great boost to your mood. Experience the wonderful cleansing power of Blissful Lavender while enjoying hydration, restoration, and rejuvenation of your skin with each use.</p><p><strong>Ingredients:</strong> Goat’s Milk, Lavender Oil, Vitamin E Oil, Bergamot Oil, Mint Oil, Lavender Buds, Natural Coloring and Natural Preservative.</p><p><strong>Weight:</strong> 6.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, herbal-soap",TRUE,Title,Default Title,BLI-HER-BAR-06,178,shopify,0,deny,manual,14.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/blissful-lavender/01.jpg,1,Blissful Lavender herbal soap by Royal Being,Blissful Lavender | Royal Being,"Invite a natural calming effect with our Blissful Lavender Herbal soap bar enriched with skin loving moisturizing ingredients and beneficial essential oils such as Goat’s Milk and Lavender Oil. Our unique blend of mindful ingredients relaxes the nervous system, a reason Lavender is widely celebra",FALSE,g,The Common Collection
blissful-lavender,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/blissful-lavender/02.jpg,2,Blissful Lavender herbal soap by Royal Being,,,,,
blissful-lavender,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/blissful-lavender/03.jpg,3,Blissful Lavender herbal soap by Royal Being,,,,,
blissful-lavender,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/blissful-lavender/04.jpg,4,Blissful Lavender herbal soap by Royal Being,,,,,
blissful-lavender,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/blissful-lavender/05.jpg,5,Blissful Lavender herbal soap by Royal Being,,,,,
blissful-lavender,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/blissful-lavender/06.jpg,6,Blissful Lavender herbal soap by Royal Being,,,,,
calm,Calm,"<p>Embrace the natural essence of Oat Milk and Honey. Calm offers a luxurious blend of skin loving nourishing ingredients, infused with beneficial essential oils. This all natural, nutrient-rich herbal bar is celebrated for its calming essential oils, deep cleansing qualities, and its invigorating scents. Treat your skin and senses to the delightful notes of ocean breeze without any harsh synthetic chemicals.</p><p><strong>Ingredients:</strong> Oat Milk, Honey, Jojoba Oil, Lavender Oil, Geranium Oil, Ylang Ylang Oil, Chamomile Oil, Tea Tree Oil and Natural Preservative.</p><p><strong>Weight:</strong> 6.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, herbal-soap",TRUE,Title,Default Title,CAL-HER-BAR-06,178,shopify,0,deny,manual,16.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/calm/01.jpg,1,Calm herbal soap by Royal Being,Calm | Royal Being,"Embrace the natural essence of Oat Milk and Honey. Calm offers a luxurious blend of skin loving nourishing ingredients, infused with beneficial essential oils. This all natural, nutrient-rich herbal bar is celebrated for its calming essential oils, deep cleansing qualities, and its invigorating s",FALSE,g,The Common Collection
charcoal-moment,Charcoal Moment,"<p>Experience deep pore cleansing with our Charcoal Moment Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our unique blend of Goat’s Milk, Activated Charcoal Powder, and Bentonite Clay, offer the gentlest form of exfoliating, while drawing out impurities from your skin. It is particularly beneficial for treating oily, acne-prone skin, and helps clear blemishes. Activated Charcoal also helps in preventing future blackheads by reducing sebum buildup, while effectively absorbing dirt, sweat, and makeup.</p><p><strong>Ingredients:</strong> Coconut Oil, Activated Charcoal Powder, Goat Milk, Glycerin, Shea Butter, Bentonite Clay, Tea tree Oil, Peppermint Oil, Eucalyptus Oil, and Lavender Oil.</p><p><strong>Weight:</strong> 7.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, herbal-soap",TRUE,Title,Default Title,CHA-HER-BAR-05,206,shopify,0,deny,manual,14.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/charcoal-moment/01.jpg,1,Charcoal Moment herbal soap by Royal Being,Charcoal Moment | Royal Being,"Experience deep pore cleansing with our Charcoal Moment Herbal soap enriched with skin loving, moisturizing ingredients and beneficial essential oils. Our unique blend of Goat’s Milk, Activated Charcoal Powder, and Bentonite Clay, offer the gentlest form of exfoliating, while drawing out impuriti",FALSE,g,The Signature Collection
charcoal-moment,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/charcoal-moment/02.jpg,2,Charcoal Moment herbal soap by Royal Being,,,,,
charcoal-moment,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/charcoal-moment/03.jpg,3,Charcoal Moment herbal soap by Royal Being,,,,,
charcoal-moment,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/charcoal-moment/04.jpg,4,Charcoal Moment herbal soap by Royal Being,,,,,
charcoal-moment,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/charcoal-moment/05.jpg,5,Charcoal Moment herbal soap by Royal Being,,,,,
charcoal-moment,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/charcoal-moment/06.jpg,6,Charcoal Moment herbal soap by Royal Being,,,,,
citrus-heaven,Citrus Heaven,"<p>MATCH YOURS EXACTLY Embrace the invigorating power of bright, zesty, and refreshing citrus. Citrus Heaven offers an exciting fusion of skin loving, moisturizing ingredients such as Goats Milk, Tangerine, and Sweet Orange, infused with beneficial essential oils. This delightful, fruity, all natural, nutrient- rich herbal bar is celebrated for its invigorating, vibrant, and crisp fragrance. Treat your skin to our luxurious blend of citrus notes which transports you to a sweet, tropical oasis with every use.</p><p><strong>Ingredients:</strong> Goats Milk, Lime Oil, Tangerine Oil, Sweet Orange Oil, Bergamot Oil, Lemongrass Oil, Grapefruit Oil, Lemon Oil, and Natural Preservative.</p><p><strong>Weight:</strong> 7.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, herbal-soap",TRUE,Title,Default Title,CIT-HER-BAR-06,206,shopify,0,deny,manual,15.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/citrus-heaven/01.jpg,1,Citrus Heaven herbal soap by Royal Being,Citrus Heaven | Royal Being,"MATCH YOURS EXACTLY Embrace the invigorating power of bright, zesty, and refreshing citrus. Citrus Heaven offers an exciting fusion of skin loving, moisturizing ingredients such as Goats Milk, Tangerine, and Sweet Orange, infused with beneficial essential oils. This delightful, fruity, all natura",FALSE,g,The Common Collection
citrus-heaven,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/citrus-heaven/02.jpg,2,Citrus Heaven herbal soap by Royal Being,,,,,
citrus-heaven,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/citrus-heaven/03.jpg,3,Citrus Heaven herbal soap by Royal Being,,,,,
citrus-heaven,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/citrus-heaven/04.jpg,4,Citrus Heaven herbal soap by Royal Being,,,,,
detoxify,Detoxify,"<p>Experience the ultimate in skincare with our Detoxify herbal soap perfectly formulated with skin loving, moisturizing ingredients such as Goat’s Milk and pure, high-quality Bentonite Clay, that acts as a natural sponge that binds to positively charged toxins, heavy metals, and bacteria. Our Detoxify herbal soap helps treat acne, soothe skin conditions such as clogged pores, eczema, psoriasis, and absorbs excess oil without dryness or irritation. The benefit of combining Goat’s milk and Shea butter adds an extra layer of care and hydration to Detoxify, making it the perfect choice.</p><p><strong>Ingredients:</strong> Goats Milk, Shea Butter, Bentonite Clay, Frankincense Oil, Lemongrass Oil, Patchouli Oil, Grape Seed Oil, and Natural Preservative.</p><p><strong>Weight:</strong> 6.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Common Collection, herbal-soap",TRUE,Title,Default Title,DET-HER-BAR-06,178,shopify,0,deny,manual,17.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/detoxify/01.jpg,1,Detoxify herbal soap by Royal Being,Detoxify | Royal Being,"Experience the ultimate in skincare with our Detoxify herbal soap perfectly formulated with skin loving, moisturizing ingredients such as Goat’s Milk and pure, high-quality Bentonite Clay, that acts as a natural sponge that binds to positively charged toxins, heavy metals, and bacteria. Our Detox",FALSE,g,The Common Collection
detoxify,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/detoxify/02.jpg,2,Detoxify herbal soap by Royal Being,,,,,
detoxify,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/detoxify/03.jpg,3,Detoxify herbal soap by Royal Being,,,,,
detoxify,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/detoxify/04.jpg,4,Detoxify herbal soap by Royal Being,,,,,
fresh-floral-fiesta,Fresh Floral Fiesta,"<p>Embrace natures light, airy, and blossoming scents with our Fresh Floral Fiesta Herbal soap. Renowned for its nourishing and renewing skin loving ingredients and anti-aging essential oils. This perfectly formulated soap with a moisturizing blend of pure Goat’s milk and the sweet aroma of Japanese Magnolia, provides a gentle, yet effective cleanse for every skin type.</p><p><strong>Ingredients:</strong> Goats Milk, Palmarosa Oil, Rosewood Oil, Ylang Ylang, Geranium Oil, Rose Oil, Neroli Oil, Lavender Oil, Jasmine Oil, Coconut Oil, Chamomile Roman, Clary Sage Oil, Japanese Magnolia Oil and Natural Preservative.</p><p><strong>Weight:</strong> 7.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, herbal-soap",TRUE,Title,Default Title,FRE-HER-BAR-06,206,shopify,0,deny,manual,21.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/fresh-floral-fiesta/01.jpg,1,Fresh Floral Fiesta herbal soap by Royal Being,Fresh Floral Fiesta | Royal Being,"Embrace natures light, airy, and blossoming scents with our Fresh Floral Fiesta Herbal soap. Renowned for its nourishing and renewing skin loving ingredients and anti-aging essential oils. This perfectly formulated soap with a moisturizing blend of pure Goat’s milk and the sweet aroma of Japanese",FALSE,g,The Royal Collection
fresh-floral-fiesta,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/fresh-floral-fiesta/02.jpg,2,Fresh Floral Fiesta herbal soap by Royal Being,,,,,
fresh-floral-fiesta,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/fresh-floral-fiesta/03.jpg,3,Fresh Floral Fiesta herbal soap by Royal Being,,,,,
fresh-floral-fiesta,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/fresh-floral-fiesta/04.jpg,4,Fresh Floral Fiesta herbal soap by Royal Being,,,,,
glow-rify,Glow-rify,"<p>Elevate your glow with Glow-rify. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils such as: Goats Milk and Carrot Seed Oil, also harbors one of Cleopatra’s beauty secrets: known to deeply hydrate and balance skin complexion. Glow-rify not only amplifies your glow, it gently cleanses, and removes dead skin cells to reveal soft, radiant, and rejuvenated skin.</p><p><strong>Ingredients:</strong> Goats Milk, Raw Honey, Glycerin, Carrot Seed Oil, Frankincense Oil, Jasmine Oil, Cypress Oil, Lavender Oil, Geranium Oil, and Natural Preservative.</p><p><strong>Weight:</strong> 6.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, herbal-soap",TRUE,Title,Default Title,GLO-HER-BAR-06,178,shopify,0,deny,manual,21.99,TRUE,TRUE,active,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/glow-rify/01.jpg,1,Glow-rify herbal soap by Royal Being,Glow-rify | Royal Being,"Elevate your glow with Glow-rify. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils such as: Goats Milk and Carrot Seed Oil, also harbors one of Cleopatra’s beauty secrets: known to deeply hydrate and balance skin complexion. Glow-rify not only amplifies",FALSE,g,The Royal Collection
glow-rify,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/glow-rify/02.jpg,2,Glow-rify herbal soap by Royal Being,,,,,
glow-rify,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/glow-rify/03.jpg,3,Glow-rify herbal soap by Royal Being,,,,,
gilded-age,Gilded Age,"<p>Step into a dynamic era with our Gilded Age herbal soap bar. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils such as: Cocoa Butter, Honey, Violet, Lavender, Rose, and Ylang Ylang, is the perfect soap for the woman who wants to revisit the past. A woman who wants to capture a piece of magic. The ineffable aroma of beautiful roses, as fresh and lively today as the bouquets presented eons ago, can be witnessed in our tantalizingly familiar and yet agonizingly distant Gilded Age. Known for its rich, opulent and hydrating ingredients, Gilded Age balances your skin’s surface while leaving behind a luxurious scent. Enjoy deep, warm, floral notes, reminiscent of vintage luxury, alongside blissful bubbly lathers that rejuvenate your skin.</p><p><strong>Ingredients:</strong> Cocoa Butter Base, Goats Milk Base, Patchouli Oil, Violet Oil, Lavender Oil, Rose Oil, Ylang Ylang Oil, Frankincense Oil, Glycerin Base, Cedarwood Oil, Sweet Orange Oil, Bergamot Oil, Cinnamon Oil, Jasmine Oil, Natural Coloring and Natural Preservative.</p><p><strong>Weight:</strong> 6.3 OZ</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Collection, herbal-soap, coming-soon",FALSE,Title,Default Title,GIL-HER-BAR-06,178,shopify,0,deny,manual,21.99,TRUE,TRUE,draft,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/gilded-age/01.jpg,1,Gilded Age herbal soap by Royal Being,Gilded Age | Royal Being,"Step into a dynamic era with our Gilded Age herbal soap bar. This luxurious soap with skin loving, moisturizing ingredients and beneficial essential oils such as: Cocoa Butter, Honey, Violet, Lavender, Rose, and Ylang Ylang, is the perfect soap for the woman who wants to revisit the past. A woman",FALSE,g,The Royal Collection
gilded-age,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/gilded-age/02.jpg,2,Gilded Age herbal soap by Royal Being,,,,,
gilded-age,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/gilded-age/03.jpg,3,Gilded Age herbal soap by Royal Being,,,,,
gilded-age,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/RoyalBeingShopifySoap/main/import-assets/products/gilded-age/04.jpg,4,Gilded Age herbal soap by Royal Being,,,,,
